Sample in Buffer,Sample in Window,TRIGGER,data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
348,348,0,3412
349,349,0,3412
350,350,0,3412
351,351,0,3412
352,352,0,3412
353,353,0,3412
354,354,0,3412
355,355,0,3412
356,356,0,3412
357,357,0,3412
358,358,0,3412
359,359,0,3412
360,360,0,3412
361,361,0,3412
362,362,0,3412
363,363,0,3412
364,364,0,3412
365,365,0,3412
366,366,0,3412
367,367,0,3412
368,368,0,3412
369,369,0,3412
370,370,0,3412
371,371,0,3412
372,372,0,3412
373,373,0,3412
374,374,0,3412
375,375,0,3412
376,376,0,3412
377,377,0,3412
378,378,0,3412
379,379,0,3412
380,380,0,3412
381,381,0,3412
382,382,0,3412
383,383,0,3412
384,384,0,3412
385,385,0,3412
386,386,0,3412
387,387,0,3412
388,388,0,3412
389,389,0,3412
390,390,0,3412
391,391,0,3412
392,392,0,3412
393,393,0,3412
394,394,0,3412
395,395,0,3412
396,396,0,3412
397,397,0,3412
398,398,0,3412
399,399,0,3412
400,400,0,3412
401,401,0,3412
402,402,0,3412
403,403,0,3412
404,404,0,3412
405,405,0,3412
406,406,0,3412
407,407,0,3412
408,408,0,3412
409,409,0,3412
410,410,0,3412
411,411,0,3412
412,412,0,3412
413,413,0,3412
414,414,0,3412
415,415,0,3412
416,416,0,3412
417,417,0,3412
418,418,0,3412
419,419,0,3412
420,420,0,3412
421,421,0,3412
422,422,0,3412
423,423,0,3412
424,424,0,3412
425,425,0,3412
426,426,0,3412
427,427,0,3412
428,428,0,3412
429,429,0,3412
430,430,0,3412
431,431,0,3412
432,432,0,3412
433,433,0,3412
434,434,0,3412
435,435,0,3412
436,436,0,3412
437,437,0,3412
438,438,0,3412
439,439,0,3412
440,440,0,3412
441,441,0,3412
442,442,0,3412
443,443,0,3412
444,444,0,3412
445,445,0,3412
446,446,0,3412
447,447,0,3412
448,448,0,3412
449,449,0,3412
450,450,0,3412
451,451,0,3412
452,452,0,3412
453,453,0,3412
454,454,0,3412
455,455,0,3412
456,456,0,3412
457,457,0,3412
458,458,0,3412
459,459,0,3412
460,460,0,3412
461,461,0,3412
462,462,0,3412
463,463,0,3412
464,464,0,3412
465,465,0,3412
466,466,0,3412
467,467,0,3412
468,468,0,3412
469,469,0,3412
470,470,0,3412
471,471,0,3412
472,472,0,3412
473,473,0,3412
474,474,0,3412
475,475,0,3412
476,476,0,3412
477,477,0,3412
478,478,0,3412
479,479,0,3412
480,480,0,3412
481,481,0,3412
482,482,0,3412
483,483,0,3412
484,484,0,3412
485,485,0,3412
486,486,0,3412
487,487,0,3412
488,488,0,3412
489,489,0,3412
490,490,0,3412
491,491,0,3412
492,492,0,3412
493,493,0,3412
494,494,0,3412
495,495,0,3412
496,496,0,3412
497,497,0,3412
498,498,0,3412
499,499,0,3412
500,500,0,3412
501,501,0,3412
502,502,0,3412
503,503,0,3412
504,504,0,3412
505,505,0,3412
506,506,0,3412
507,507,0,3412
508,508,0,3412
509,509,0,3412
510,510,0,3412
511,511,0,3412
512,512,1,3412
513,513,0,3412
514,514,0,3412
515,515,0,3412
516,516,0,3412
517,517,0,3412
518,518,0,3412
519,519,0,3412
520,520,0,3412
521,521,0,3412
522,522,0,3412
523,523,0,3412
524,524,0,3412
525,525,0,3412
526,526,0,3412
527,527,0,3412
528,528,0,3412
529,529,0,3412
530,530,0,3412
531,531,0,3412
532,532,0,3412
533,533,0,3412
534,534,0,3412
535,535,0,3412
536,536,0,3412
537,537,0,3412
538,538,0,3412
539,539,0,3412
540,540,0,3412
541,541,0,3412
542,542,0,3412
543,543,0,3412
544,544,0,3412
545,545,0,3412
546,546,0,3412
547,547,0,3412
548,548,0,3412
549,549,0,3412
550,550,0,3412
551,551,0,3412
552,552,0,3412
553,553,0,3412
554,554,0,3412
555,555,0,3412
556,556,0,3412
557,557,0,3412
558,558,0,3412
559,559,0,3412
560,560,0,3412
561,561,0,3412
562,562,0,3412
563,563,0,3412
564,564,0,3412
565,565,0,3412
566,566,0,3412
567,567,0,3412
568,568,0,3412
569,569,0,3412
570,570,0,3412
571,571,0,3412
572,572,0,3412
573,573,0,3412
574,574,0,3412
575,575,0,3412
576,576,0,3412
577,577,0,3412
578,578,0,3412
579,579,0,3412
580,580,0,3412
581,581,0,3412
582,582,0,3412
583,583,0,3412
584,584,0,3412
585,585,0,3412
586,586,0,3412
587,587,0,3412
588,588,0,3412
589,589,0,3412
590,590,0,3412
591,591,0,3412
